latitude,longitude,depth,time,year,month,day,hour,magnitude,rolling_mean_magnitude,time_since_last_hour,closest_eq_time,closest_eq_index,distance_to_closest_eq,time_diff_to_closest_eq
39.9754,78.0989,10.0,2024-12-11 15:53:51.932000+00:00,2024,12,11,15,4.1,4.25,140.64218083333333,1961-04-04 09:46:43.780000+00:00,2157,20.754667195471253,23262.254955462962
40.093,77.6063,10.0,2024-11-30 09:32:41.098000+00:00,2024,11,30,9,4.4,4.24,270.35300944444447,1961-04-01 15:18:28.370000+00:00,2158,32.994287309612744,23253.759869537036
40.4137,77.8019,10.0,2024-11-27 20:31:40.824000+00:00,2024,11,27,20,4.5,4.29,61.01674277777778,1961-04-01 15:18:28.370000+00:00,2158,61.90418100473544,23251.21750525463
44.2913,79.8235,26.665,2024-11-25 18:42:15.117000+00:00,2024,11,25,18,4.5,4.34,49.8238075,1962-08-19 18:26:41.340000+00:00,2152,143.98735133830513,22744.010807604165
42.3595,80.5047,10.0,2024-11-23 10:06:58.603000+00:00,2024,11,23,10,4.3,4.32,56.587920555555556,2003-12-01 01:38:31.960000+00:00,1094,60.603070832132445,7663.353086145833
43.2308,77.2835,10.0,2024-11-05 05:00:32.492000+00:00,2024,11,5,5,4.3,4.32,437.1072530555556,1990-11-12 12:28:51.520000+00:00,1736,70.86883925609526,12411.688668657407
41.2211,78.6049,10.0,2024-11-03 23:31:53.023000+00:00,2024,11,3,23,4.1,4.29,29.477630277777777,2024-01-22 18:09:04.340000+00:00,280,5.603595312823157,286.22417457175925
41.5128,79.3833,10.0,2024-11-02 05:50:51.877000+00:00,2024,11,2,5,4.6,4.34,41.68365166666667,1971-03-23 09:52:11.760000+00:00,2111,4.931859163985285,19582.832408761577
43.4231,83.7143,10.0,2024-10-28 07:53:30.759000+00:00,2024,10,28,7,4.5,4.369999999999999,117.95586611111112,2012-06-29 21:07:33.860000+00:00,744,79.82185635032624,4503.448575219907
41.2931,78.5425,10.0,2024-10-23 22:49:34.926000+00:00,2024,10,23,22,4.0,4.33,105.06550916666666,2024-01-22 18:09:04.340000+00:00,280,10.217584604017615,275.1947984490741
41.1512,78.508,10.0,2024-10-16 22:23:02.559000+00:00,2024,10,16,22,4.9,4.41,168.44232416666665,2024-01-22 18:09:04.340000+00:00,280,16.844140704220404,268.17636827546295
